League,Host_Team,Guest_Team,Date_Time,Score_to_Payrate
"
阿根廷職業聯賽


",烏拉坎 ,塔勒雷斯 ,2023-07-14 20:30:00,"{'1 - 0': '6.5', '2 - 0': '13.5', '2 - 1': '11.5', '3 - 0': '41', '3 - 1': '36', '3 - 2': '56', '4 - 0': '141', '4 - 1': '121', '4 - 2': '201', '4 - 3': '201', '0 - 0': '6.6', '1 - 1': '5.9', '2 - 2': '20', '3 - 3': '131', '4 - 4': '201', '0 - 1': '6.0', '0 - 2': '11.5', '1 - 2': '11.0', '0 - 3': '31', '1 - 3': '31', '2 - 3': '51', '0 - 4': '111', '1 - 4': '96', '2 - 4': '161', '3 - 4': '201', '其它比分': '81'}"
"
墨西哥超級聯賽


",馬薩特蘭 ,蒙特瑞 ,2023-07-14 21:00:00,"{'1 - 0': '13.0', '2 - 0': '26', '2 - 1': '13.5', '3 - 0': '66', '3 - 1': '36', '3 - 2': '41', '4 - 0': '201', '4 - 1': '121', '4 - 2': '131', '4 - 3': '201', '0 - 0': '14.5', '1 - 1': '7.3', '2 - 2': '15.0', '3 - 3': '66', '4 - 4': '201', '0 - 1': '7.9', '0 - 2': '8.8', '1 - 2': '8.2', '0 - 3': '15.0', '1 - 3': '13.5', '2 - 3': '26', '0 - 4': '31', '1 - 4': '31', '2 - 4': '56', '3 - 4': '131', '其它比分': '19.5'}"
"
墨西哥超級聯賽


",提華納 ,阿蘇爾 ,2023-07-14 23:10:00,"{'1 - 0': '8.1', '2 - 0': '11.5', '2 - 1': '9.2', '3 - 0': '26', '3 - 1': '19.0', '3 - 2': '31', '4 - 0': '66', '4 - 1': '51', '4 - 2': '81', '4 - 3': '201', '0 - 0': '12.0', '1 - 1': '6.5', '2 - 2': '14.5', '3 - 3': '71', '4 - 4': '201', '0 - 1': '9.2', '0 - 2': '15.0', '1 - 2': '10.5', '0 - 3': '36', '1 - 3': '26', '2 - 3': '36', '0 - 4': '101', '1 - 4': '76', '2 - 4': '101', '3 - 4': '201', '其它比分': '31'}"
"
秘魯甲組聯賽


",迪波特斯 ,科美西歐 ,2023-07-14 22:00:00,"{'1 - 0': '7.5', '2 - 0': '5.8', '2 - 1': '9.1', '3 - 0': '6.7', '3 - 1': '10.5', '3 - 2': '31', '4 - 0': '10.5', '4 - 1': '16.0', '4 - 2': '46', '4 - 3': '201', '0 - 0': '21', '1 - 1': '12.0', '2 - 2': '26', '3 - 3': '121', '4 - 4': '201', '0 - 1': '31', '0 - 2': '86', '1 - 2': '36', '0 - 3': '201', '1 - 3': '141', '2 - 3': '111', '0 - 4': '201', '1 - 4': '201', '2 - 4': '201', '3 - 4': '201', '其它比分': '6.2'}"
"
阿根廷全國聯賽


",聖馬丁德圖庫曼 ,聖太摩 ,2023-07-14 20:30:00,"{'1 - 0': '4.40', '2 - 0': '4.65', '2 - 1': '9.1', '3 - 0': '7.2', '3 - 1': '14.5', '3 - 2': '51', '4 - 0': '15.0', '4 - 1': '31', '4 - 2': '96', '4 - 3': '151', '0 - 0': '8.6', '1 - 1': '8.7', '2 - 2': '36', '3 - 3': '151', '4 - 4': '151', '0 - 1': '16.5', '0 - 2': '61', '1 - 2': '31', '0 - 3': '151', '1 - 3': '151', '2 - 3': '151', '0 - 4': '151', '1 - 4': '151', '2 - 4': '151', '3 - 4': '151', '其它比分': '16.5'}"
"
美國足球冠軍聯賽


",科羅拉多斯普林斯 ,圣迭戈忠實 ,2023-07-14 21:00:00,"{'1 - 0': '7.7', '2 - 0': '9.6', '2 - 1': '8.1', '3 - 0': '18.0', '3 - 1': '15.0', '3 - 2': '26', '4 - 0': '41', '4 - 1': '36', '4 - 2': '61', '4 - 3': '131', '0 - 0': '13.0', '1 - 1': '6.5', '2 - 2': '13.5', '3 - 3': '61', '4 - 4': '151', '0 - 1': '10.5', '0 - 2': '17.5', '1 - 2': '11.0', '0 - 3': '41', '1 - 3': '26', '2 - 3': '31', '0 - 4': '121', '1 - 4': '81', '2 - 4': '101', '3 - 4': '151', '其它比分': '26'}"
"
巴西乙組聯賽


",戈亞尼恩斯 ,利斯菲體育會PE ,2023-07-14 20:30:00,"{'1 - 0': '6.1', '2 - 0': '11.0', '2 - 1': '10.0', '3 - 0': '31', '3 - 1': '26', '3 - 2': '46', '4 - 0': '96', '4 - 1': '81', '4 - 2': '131', '4 - 3': '201', '0 - 0': '7.0', '1 - 1': '5.9', '2 - 2': '18.5', '3 - 3': '111', '4 - 4': '201', '0 - 1': '6.8', '0 - 2': '13.5', '1 - 2': '11.5', '0 - 3': '41', '1 - 3': '31', '2 - 3': '51', '0 - 4': '141', '1 - 4': '111', '2 - 4': '161', '3 - 4': '201', '其它比分': '66'}"
"
巴西乙組聯賽


",森柏歐MA ,伊圖阿諾SP ,2023-07-14 20:30:00,"{'1 - 0': '5.0', '2 - 0': '7.3', '2 - 1': '9.1', '3 - 0': '16.0', '3 - 1': '20', '3 - 2': '46', '4 - 0': '46', '4 - 1': '56', '4 - 2': '121', '4 - 3': '201', '0 - 0': '7.0', '1 - 1': '6.2', '2 - 2': '21', '3 - 3': '151', '4 - 4': '201', '0 - 1': '8.5', '0 - 2': '21', '1 - 2': '15.5', '0 - 3': '71', '1 - 3': '56', '2 - 3': '76', '0 - 4': '201', '1 - 4': '201', '2 - 4': '201', '3 - 4': '201', '其它比分': '51'}"
"
哥倫比亞甲組聯賽


",修羅 ,馬大雷拿 ,2023-07-14 20:40:00,"{'1 - 0': '5.8', '2 - 0': '7.8', '2 - 1': '8.2', '3 - 0': '15.5', '3 - 1': '16.0', '3 - 2': '31', '4 - 0': '41', '4 - 1': '41', '4 - 2': '71', '4 - 3': '201', '0 - 0': '9.0', '1 - 1': '6.4', '2 - 2': '17.0', '3 - 3': '86', '4 - 4': '201', '0 - 1': '9.9', '0 - 2': '21', '1 - 2': '14.0', '0 - 3': '71', '1 - 3': '41', '2 - 3': '51', '0 - 4': '201', '1 - 4': '201', '2 - 4': '201', '3 - 4': '201', '其它比分': '31'}"
"
美國MLS Next職業聯賽


",皇家君主 ,科羅拉多急流2隊 ,2023-07-14 22:00:00,"{'1 - 0': '16.5', '2 - 0': '26', '2 - 1': '12.0', '3 - 0': '51', '3 - 1': '26', '3 - 2': '26', '4 - 0': '131', '4 - 1': '71', '4 - 2': '66', '4 - 3': '96', '0 - 0': '21', '1 - 1': '8.1', '2 - 2': '11.5', '3 - 3': '36', '4 - 4': '151', '0 - 1': '11.0', '0 - 2': '11.0', '1 - 2': '8.0', '0 - 3': '16.0', '1 - 3': '11.5', '2 - 3': '17.0', '0 - 4': '31', '1 - 4': '21', '2 - 4': '31', '3 - 4': '66', '其它比分': '11.0'}"
